date,open_price,high_price,low_price,trade_price,volume
2023-05-15,2469.8,2479.35,2455.99,2479.35,484564791
2023-05-16,2494.4,2498.54,2474.9,2480.24,628743773
2023-05-17,2479.65,2498.37,2475.02,2494.66,564411579
2023-05-18,2511.09,2515.4,2500.01,2515.4,572764581
2023-05-19,2530.83,2538.31,2524.89,2537.79,570097445
2023-05-22,2540.03,2564.09,2533.5,2557.08,593619969
2023-05-23,2565.8,2577.32,2561.1,2567.55,576045359
2023-05-24,2557.11,2572.21,2555.04,2567.45,1072440018
2023-05-25,2570.64,2575.05,2551.49,2554.69,917553486
2023-05-26,2561.94,2567.5,2553.79,2558.81,634759104
2023-05-30,2582.41,2586.22,2574.82,2585.52,641646565
2023-05-31,2586.03,2596.31,2575.98,2577.12,686186797
2023-06-01,2572.56,2580.15,2565.0,2569.17,675233437
2023-06-02,2586.27,2601.38,2583.88,2601.36,569619542
2023-06-05,2617.43,2618.62,2608.01,2615.41,545879707
2023-06-07,2623.46,2629.92,2613.68,2615.6,537616723
2023-06-08,2609.21,2612.39,2595.33,2610.85,581325177
2023-06-09,2624.15,2644.7,2618.45,2641.16,583219035
2023-06-12,2647.49,2650.45,2623.43,2629.35,557056391
2023-06-13,2644.43,2645.62,2633.52,2637.95,694320536
2023-06-14,2640.81,2642.86,2614.25,2619.08,654404452
2023-06-15,2629.24,2634.22,2602.52,2608.54,582437342
2023-06-16,2623.57,2625.79,2612.21,2625.79,673673049
2023-06-19,2618.06,2619.44,2600.49,2609.5,719549044
2023-06-20,2602.83,2610.03,2596.82,2604.91,722540797
2023-06-21,2599.19,2600.97,2579.52,2582.63,659798470
2023-06-22,2575.65,2597.76,2575.65,2593.7,613221379
2023-06-23,2599.04,2600.81,2568.07,2570.1,528307350
2023-06-26,2568.65,2585.31,2562.03,2582.2,481750510
2023-06-27,2581.02,2582.0,2568.52,2581.39,538509244
2023-06-28,2590.52,2590.52,2559.46,2564.19,488767961
2023-06-29,2564.02,2577.69,2550.02,2550.02,604508630
2023-06-30,2558.43,2571.03,2541.72,2564.28,510933786
2023-07-03,2580.89,2604.63,2580.49,2602.47,618006181
2023-07-04,2604.72,2607.66,2591.86,2593.31,674410584
2023-07-05,2593.47,2601.99,2578.66,2579.0,601088685
2023-07-06,2574.75,2575.45,2550.67,2556.29,531900313
2023-07-07,2547.41,2547.41,2515.07,2526.71,613265045
2023-07-10,2528.08,2539.63,2517.67,2520.7,561821159
2023-07-11,2538.84,2562.49,2534.48,2562.49,594134894
2023-07-12,2557.61,2574.73,2554.26,2574.72,696924185
2023-07-13,2589.89,2602.21,2587.75,2591.23,585660777
